,Title,Number,Address,Email
157,Tang,(01) 8733672,9a Abbey Street Lower  Dublin D01 A0W2 Co. Dublin,hello@tang.ie
158,Square One,(01)2933908,5D Rockbrook Blackthorn Drive Sandyford D18 E673 Co. Dublin,hello@square-one.ie
159,Bunsen,(01)5525408,36 Wexford Street  Dublin 2  Co. Dublin,info@bunsen.ie
160,Toscana Restaurant,(01)2300890,5 Windsor Terrace Dun Laoghaire  A96TW50 Co. Dublin,dunlaoghaire@toscana.ie
161,Toscana Restaurant,(01)6709785,3 Cork Hill Dame Street  D02DR53 Co. Dublin,
162,Monsoon Indian Restaurant,(01)2884262,4 The Hill Stillorgan   Co. Dublin,
163,Darwins,(01)4757511,80 Aungier St  Dublin 2 Co. Dublin,info@darwins.ie
164,Good World Chinese Restaurant,(01)6775373,18 South Great Georges Street    Co. Dublin,goodworldchinese@gmail.com
165,F.X. Buckleys,(01)6764606,Pembroke st    2 Co. Dublin,
166,The Pub @ FXB Monkstown,(01)284 6187,3 The Cresent Monkstown Dublin  Co. Dublin,
167,Borlottie,(01)6054000,Unit 4A Excise Walk  IFSC   Co. Dublin,info@borlottie.ie
168,Borlottie,(01)2815884,2 Saint Martin's House Baggot Street Upper  2 Co. Dublin,info@borlottie.ie
169,Barker's of Blackrock,(01) 2122981,Rock Hill  Blackrock Village  Co. Dublin,
170,Hemmingways of Kilmacud,(01) 2780088,118 Lower Kilmacud Road  Stillorgan A94 TN99 Co. Dublin,hemmingwaysofkilmacud@gmail.com
171,O'Dwyers Bar and Kitchen,(01) 2882228,118 Lower Kilmacud Road  Stillorgan A94 TN99 Co. Dublin,infoatodk@gmail.com
172,Pizza Max,(01)8111555,"Dillon House, Unit 104C, Porters Rd, Coolmine Industrial Estate  Dublin 15 D15 TR22 Co. Dublin",sbssfoodslimited@gmail.com
173,Pizza Max,(01) 2961111,"1 Olivemount Terrace, Windy Arbour  Dublin 14 D14 XH70 Co. Dublin",sbssfoodslimited@gmail.com
174,Pizza Max,(01)8381000,"25 Annamoe Road, Cabra East  Dublin 7 D07 C938 Co. Dublin",sbssfoodslimited@gmail.com
175,The Bankers,(01) 6793697,16 Trinity Street  Dublin 2 D02 FD26 Co. Dublin,info@thebankersbar.ie
176,The Bank on College Green,(01) 6770677,20-22 College Green  Dublin 2 D02 VR66 Co. Dublin,
177,Bang Restaurant & Bar,(01) 400 4229,11 Merrion Row  Dublin 2 D02 KW61 Co. Dublin,info@bangrestaurant.com
178,Banyi Japanese Dining,(01) 6750669,3-4 Bedford Row Temple Bar Dublin 2 D02 HD77 Co. Dublin,info@banyijapanesedining.com
179,Bar Italia,(01) 8741000,26 Lower Ormond Quay  Dublin 1  Co. Dublin,info@baritalia.ie
180,Kathmandu Kitchen,(01)6111706,18 Dame Street  Dublin  Co. Dublin,
181,El Celler,,"19A Blackrock, Rock Hill, Blackrock  Dublin A94 VE02 Co. Dublin",bookings@elceller.ie
182,El Celler Spanish Restaurant,(089)6177161,"19A Blackrock, Rock Hill, Blackrock  Dublin A94 VE02 Co. Dublin",bookings@elceller.ie
183,The Balrothery Inn,(01) 8412252,Balrothery  Balbriggan K32 YK09 Co. Dublin,balrotheryinn@gmail.com
184,Cafe Diem,(089)4806862,"Ever Ready Centre, Brookvale Road, Donnybrook  Dublin 4 D04 HH04 Co. Dublin",info@cafediem.ie
185,Bagel Haven,(01)6759900,Unit 5A Cows Lane Temple Bar   Co. Dublin,
186,Bagel Haven,(01)8726942,Unit 6 The Capel Building Capel Street  D07FXF8 Co. Dublin,
187,Rock & Roast Coffee Company,(087) 439 6287,"Burlington Plaza, Courtyard, 1 Burlington Road, Ballsbridge  Dublin 4 D04 RH96 Co. Dublin",hello@rockandroast.ie
188,Montys Of Kathmandu,(01)6704911,28 Eustace Street Templebar  D02 WP30 Co. Dublin,info@montys.ie
189,King Sitric,(01)8325235,East Pier Howth    Co. Dublin,info@kingsitric.ie
190,Honey Pot - African Restaurant,(085) 227 6412,"Unit 39 Coolmine Industrial Estate, Blanchardstown  Dublin 15 D15 A370 Co. Dublin",austindaniels365@gmail.com
191,Camden Bites & Brews,(085) 2070468,9 Camden Street Lower Saint Kevin’s Dublin 2 D02 FX67 Co. Dublin,hello@wearecamden.ie
192,1909 Restaurant and Wine Bar,(01) 2851909,31 Castle Street  Dalkey A96 D584 Co. Dublin,info@1909.ie
193,Chapter One Restaurant,(01)8732266,18-19 Parnell Square North Rotunda Dublin 1 D01 T3V8 Co. Dublin,info@chapteronerestaurant.com
194,Bresson,(01)28 442 86,4a The Crescent  Monkstown A94 VK30 Co. Dublin,hello@bresson.ie
195,Rubys Pizza & Grill,(01)8902254,F16a The Pavilions Malahide Road Swords  Co. Dublin,weloveyou@rubys.ie
196,Chimac,(01) 405 4960,76 Aungier Street  Dublin 2 D02 XR70 Co. Dublin,info@chimac.ie
197,El Celler,,"19A Blackrock, Rock Hill, Blackrock  Dublin A94 VE02 Co. Dublin",bookings@elceller.ie
198,El Celler Spanish Restaurant,(089)6177161,"19A Blackrock, Rock Hill, Blackrock  Dublin A94 VE02 Co. Dublin",bookings@elceller.ie
199,Kathmandu Kitchen,(01)6111706,18 Dame Street  Dublin  Co. Dublin,
200,Diwali,(01)4750091,Unit 1 Castle House South Great George's Street  Dublin 2  Co. Dublin,diwali@live.ie
201,Metro Cafe,(01)6794515,43 Sth William St   2 Co. Dublin,mail@metrocafe.ie
202,"O'Dwyers Gastro Bar, Kilmacud",(01) 2882228,118 Lower Kilmacud Road  Stillorgan A94 TN99 Co. Dublin,infoatodk@gmail.com
203,The Balrothery Inn,(01) 8412252,Balrothery  Balbriggan K32 YK09 Co. Dublin,balrotheryinn@gmail.com
204,Thai Garden,(01)8157882,Church ave Off Main st Blanchardstown D D15 E9CX Co. Dublin,info@thaigarden.ie
205,Brady's at Coolquay Service Station,(01) 8351437,Coolquay The Ward  D11 K24Y Co. Dublin,amberlaw603@yahoo.com
206,Fallon and Byrne,(01) 472 1010,11-17 Exchequer Street  Dublin D02 RY63 Co. Dublin,ask@fallonandbyrne.com
207,Bad Ass Cafe,(01)6753005,9-11 Crown Alley Temple Bar Dublin 2  Co. Dublin,info@badassdublin.com
208,Bad Bobs Temple Bar,(01)6778860,35-37 East Essex Street Temple Bar Dublin 2 D02 Y891 Co. Dublin,bookings@badbobs.ie
209,Bagots Hutton,(01)8788118,6 Ormond Quay Upper  Dublin  Co. Dublin,info@bagotshutton.com
210,Cafe Diem,(089)4806862,"Ever Ready Centre, Brookvale Road, Donnybrook  Dublin 4 D04 HH04 Co. Dublin",info@cafediem.ie
211,Bagel Haven,(01)6759900,Unit 5A Cows Lane Temple Bar   Co. Dublin,
212,Bagel Haven,(01)8726942,Unit 6 The Capel Building Capel Street  D07FXF8 Co. Dublin,
213,Pandini's Restaurant,(01)4111111,"3 Newlands Cross, Retail Centre, Fonthill Road, Clondalkin  Dublin 22 D22 T621 Co. Dublin",pandinis.gomap@yahoo.com
214,The Bald Barista,(086) 3129980,68 Aungier Street  Dublin 2 D02 XE86 Co. Dublin,
215,O'Neills Victorian Pub & Townhouse,,36-37 Pearse St.  Dublin D02 VX62 Co. Dublin,info@oneillsdublin.com
216,Castello Bruno,(01)8228400,Main st Castleknock Castleknock rd  15 Co. Dublin,castellobrunod15@gmail.com
217,Brownes Steakhouse,(01)8221551,Saint Philomenas Main st Blanchardstown Clonsilla  Co. Dublin,
218,Porterhouse Brewing Co,(01)6718558,Head Office 47 Nassau st   D02RP20 Co. Dublin,
219,Enigma Grill Restaurant,(01)4920260,Main Street Rathfarnham Village  D14pk92 Co. Dublin,enigmagrill@gmail.com
220,Cafe Togo,(01)6727333,Hueston Station Dn  D08E2CV Co. Dublin,
221,Wildeside Cafe,(01)2750128,1 St. Gabriel's Court Cabinteely  D18XK72 Co. Dublin,wildesidecafe@gmail.com
222,Camile Thai,(01) 4166111,"8 Dolphins Barn,  Dublin  8 Co. Dublin",info@camile.ie
223,The Dog House Howth,(01)8395188,The Doghouse Blues and Tea Rooms Howth Dart Station  Howth  D13EY10 Co. Dublin,thedoghousehowth@gmail.com
224,Borlottie,(01)2815884,2 Saint Martin's House Baggot Street Upper  2 Co. Dublin,info@borlottie.ie
225,Hot Stove Restaurant The,(01)8747778,38 Parnell Square West  Dublin 1   Co. Dublin,info@thehotstove.ie
226,Brasserie 7,(01)4707770,1 Capel Street   D01 P293 Co. Dublin,eat@brasserie7.com
227,Catherines Cafe,(01)5163193,16/17 Meath St   Dublin  Co. Dublin,
228,Sivad Grill,(01)9059471,3A Leopardstown Shopping Centre   Leopardstown 18 Co. Dublin,sivadgrill@outlook.com
229,Nelly's Drumcondra,(01)5984608,"40 Drumcondra Rd Lower,   Drumcondra  Co. Dublin",
230,Tasty Thai Cottage,(01)8495950,"24 South Strand Street,   Skerries  Co. Dublin",
231,An Bhialann,(01)5385200,"120 Ranelagh,   Dublin  Co. Dublin",
232,The Coffee House,(01)4242069,169 Drimnagh Rd Walkinstown  Dublin 12 D12 WYV1 Co. Dublin,
233,Chuan City,(01)4509032,2-4 Long Mile Road   Walkinstown D12 PK8H Co. Dublin,
